time,psibdx,psivdx,lonx,latx,alt,dvbe,thtvdx,VBED1,VBED2,VBED3
80,-179.54,-179.295,-120.497,34.0165,47915.4,1970.46,25.843,-1773.27,-21.8324,-858.939
80.5,-179.555,-179.291,-120.497,34.0086,48343.7,1968.26,25.7251,-1773.05,-21.9504,-854.33
81,-179.569,-179.287,-120.497,34.0007,48769.7,1966.07,25.6068,-1772.83,-22.068,-849.723
81.5,-179.583,-179.283,-120.497,33.9927,49193.4,1963.9,25.4884,-1772.62,-22.1854,-845.119
82,-179.597,-179.279,-120.497,33.9848,49614.8,1961.73,25.3697,-1772.41,-22.3025,-840.519
82.5,-179.61,-179.275,-120.497,33.9769,50033.9,1959.59,25.2507,-1772.21,-22.4192,-835.92
83,-179.622,-179.271,-120.498,33.969,50450.7,1957.45,25.1315,-1772.01,-22.5357,-831.325
83.5,-179.635,-179.268,-120.498,33.961,50865.3,1955.33,25.0121,-1771.81,-22.6519,-826.731
84,-179.646,-179.264,-120.498,33.9531,51277.5,1953.22,24.8924,-1771.62,-22.7678,-822.14
84.5,-179.658,-179.26,-120.498,33.9452,51687.4,1951.12,24.7725,-1771.43,-22.8834,-817.551
85,-179.669,-179.256,-120.498,33.9373,52095,1949.04,24.6523,-1771.24,-22.9987,-812.964
85.5,-179.679,-179.252,-120.498,33.9293,52500.3,1946.96,24.5319,-1771.06,-23.1138,-808.378
86,-179.69,-179.248,-120.498,33.9214,52903.4,1944.9,24.4112,-1770.88,-23.2286,-803.795
86.5,-179.7,-179.245,-120.498,33.9135,53304.1,1942.85,24.2903,-1770.71,-23.3431,-799.212
87,-179.71,-179.241,-120.499,33.9056,53702.6,1940.82,24.1691,-1770.53,-23.4574,-794.631
87.5,-179.719,-179.237,-120.499,33.8977,54098.7,1938.79,24.0477,-1770.36,-23.5714,-790.052
88,-179.728,-179.233,-120.499,33.8898,54492.6,1936.78,23.926,-1770.19,-23.6851,-785.474
88.5,-179.737,-179.23,-120.499,33.8819,54884.2,1934.78,23.8041,-1770.03,-23.7986,-780.897
89,-179.746,-179.226,-120.499,33.874,55273.5,1932.79,23.6819,-1769.86,-23.9118,-776.322
89.5,-179.754,-179.222,-120.499,33.866,55660.5,1930.81,23.5595,-1769.7,-24.0248,-771.747
90,-179.763,-179.219,-120.499,33.8581,56045.2,1928.84,23.4369,-1769.54,-24.1376,-767.174
90.5,-179.771,-179.215,-120.499,33.8502,56427.6,1926.88,23.314,-1769.39,-24.2501,-762.601
91,-179.779,-179.211,-120.5,33.8423,56807.8,1924.94,23.1908,-1769.23,-24.3623,-758.03
91.5,-179.786,-179.207,-120.5,33.8344,57185.7,1923,23.0674,-1769.08,-24.4743,-753.459
92,-179.794,-179.204,-120.5,33.8265,57561.2,1921.08,22.9437,-1768.93,-24.586,-748.89
