1,input_ballistic.asc,Three-stage,rocket,ascent
0,0,20,,
time,psibdx,thtbdx,phibdx,alppx
phipx,alphax,betax,qqx,lonx
latx,alt,dvbe,dvbi,psivdx
thtvdx,SBII1,SBII2,SBII3,grndtrck
46.153,-2.66652e+06,-4.52867e+06,3.60832e+06,3153.43
21,-180,45.8049,7.63638e-06,0
0,0.0466365,-3.39071e-13,-2.6665,-120.49
34.6501,3750.39,472.544,472.544,-180
45.7542,-2.66664e+06,-4.52886e+06,3.60828e+06,3315.59
21.5,-180,44.5082,6.55796e-06,0
180,-0.829742,8.05451e-15,-2.50324,-120.49
34.6486,3921.14,484.346,484.346,-180
45.3337,-2.66676e+06,-4.52907e+06,3.60824e+06,3483.04
22,180,43.3045,5.46682e-06,0.961948
180,-1.58942,1.33609e-12,-2.31283,-120.49
34.6471,4094.84,496.336,496.336,-180
44.8893,-2.66688e+06,-4.52928e+06,3.60819e+06,3655.97
22.5,180,42.1979,-4.51775e-06,1.82253
180,-2.21647,3.90511e-12,-2.11485,-120.49
34.6454,4271.38,508.552,508.552,-180
44.4094,-2.66701e+06,-4.52949e+06,3.60815e+06,3834.58
23,180,41.1922,-3.72151e-06,2.41036
180,-2.71789,7.52157e-12,-1.90913,-120.49
34.6438,4450.68,520.989,520.989,-180
43.9049,-2.66714e+06,-4.52971e+06,3.6081e+06,4019.12
23.5,180,40.2914,-3.07832e-06,2.83343
180,-3.09536,1.19499e-11,-1.69551,-120.49
34.6421,4632.63,533.563,533.563,-180
43.3814,-2.66727e+06,-4.52993e+06,3.60804e+06,4209.79
24,180,39.4993,-1.9091e-06,3.11507
180,-3.3517,1.56054e-11,-1.4739,-120.49
34.6403,4817.12,546.249,546.249,-180
42.8457,-2.6674e+06,-4.53016e+06,3.60799e+06,4406.73
24.5,180,38.8202,-8.53774e-07,3.26605
180,-3.48942,1.85722e-11,-1.24425,-120.49
34.6385,5004.06,559.05,559.05,180
42.3042,-2.66754e+06,-4.53039e+06,3.60793e+06,4610.07
25,180,38.2578,-0,3.29192
180,-3.51084,2.07735e-11,-1.00645,-120.49
34.6366,5193.37,571.973,571.973,180
41.7633,-2.66768e+06,-4.53062e+06,3.60786e+06,4819.94
25.5,180,37.8165,-8.53774e-07,3.19578
180,-3.41818,2.21448e-11,-0.760455,-120.49
34.6346,5385.01,585.025,585.025,180
41.2294,-2.66782e+06,-4.53087e+06,3.60779e+06,5036.44
26,180,37.5002,-0,2.97883
180,-3.21361,2.27113e-11,-0.506177,-120.49
34.6326,5578.94,598.213,598.213,180
40.7087,-2.66796e+06,-4.53111e+06,3.60772e+06,5259.62
26.5,180,37.3132,-0,2.63977
180,-2.89934,2.23284e-11,-0.243551,-120.49
34.6305,5775.17,611.541,611.541,180
40.2077,-2.66811e+06,-4.53137e+06,3.60764e+06,5489.57
27,180,37.2596,-0,2.17179
180,-2.47773,2.09839e-11,0.027489,-120.49
34.6284,5973.74,625.015,625.015,180
39.7328,-2.66826e+06,-4.53162e+06,3.60756e+06,5726.29
27.5,180,37.3437,-0,1.54952
180,-1.95091,1.85907e-11,0.306999,-120.49
34.6262,6174.71,638.629,638.629,180
39.2903,-2.66842e+06,-4.53188e+06,3.60747e+06,5969.82
28,180,37.5696,-0,0.601072
180,-1.32106,1.50038e-11,0.595,-120.49
34.6239,6378.18,652.339,652.339,180
38.8869,-2.66858e+06,-4.53215e+06,3.60738e+06,6220.11
28.5,180,37.9417,-1.47878e-06,0
180,-0.593113,1.01081e-11,0.891465,-120.49
34.6216,6584.29,666.124,666.124,180
38.5314,-2.66874e+06,-4.53242e+06,3.60729e+06,6477.08
29,180,38.4526,-0,0
0,0.245904,4.07913e-12,1.02085,-120.49
34.6192,6793.16,680.016,680.016,180
38.2035,-2.6689e+06,-4.5327e+06,3.60719e+06,6740.69
29.5,180,38.889,-8.53774e-07,0
0,0.985069,-1.44751e-12,0.707568,-120.49
34.6168,7004.87,694.018,694.018,180
37.901,-2.66907e+06,-4.53298e+06,3.60708e+06,7010.92
30,180,39.1668,-1.70755e-06,1.01695
0,1.53332,-6.85068e-12,0.385932,-120.49
34.6143,7219.53,708.149,708.149,180
37.631,-2.66924e+06,-4.53327e+06,3.60698e+06,7287.75
30.5,-180,39.2819,0,1.49974
-3.60008e-10,1.88458,-1.18416e-11,0.0559883,-120.49
34.6118,7437.29,722.417,722.417,180
37.3951,-2.66941e+06,-4.53356e+06,3.60687e+06,7571.13
31,-180,39.23,0,1.70754
-4.35752e-10,2.0503,-1.55929e-11,-0.282195,-120.49
34.6091,7658.28,736.812,736.812,180
37.1775,-2.66958e+06,-4.53386e+06,3.60676e+06,7861.05
31.5,-180,39.007,0,1.69511
-5.04933e-10,2.03659,-1.79477e-11,-0.628527,-120.49
34.6065,7882.54,751.334,751.334,180
36.9684,-2.66976e+06,-4.53417e+06,3.60664e+06,8157.55
32,-180,38.609,0,1.46838
-5.78927e-10,1.84862,-1.86792e-11,-0.982903,-120.49
34.6037,8110.1,765.984,765.984,180
36.7583,-2.66995e+06,-4.53448e+06,3.60652e+06,8460.67
32.5,-180,38.0319,1.9091e-06,0.987942
-6.76574e-10,1.49156,-1.76144e-11,-1.34521,-120.49
34.601,8340.91,780.767,780.767,180
36.5381,-2.67013e+06,-4.53479e+06,3.60639e+06,8770.52
33,-180,37.2718,2.69987e-06,0
-8.58578e-10,0.974335,-1.46025e-11,-1.71531,-120.49
34.5981,8574.89,795.679,795.679,180
36.2949,-2.67032e+06,-4.53511e+06,3.60627e+06,9087.26
33.5,-180,36.3248,4.26887e-06,0
-1.75995e-09,0.290832,-8.93509e-12,-2.09307,-120.49
34.5952,8811.86,810.735,810.735,180
36.0313,-2.67051e+06,-4.53544e+06,3.60613e+06,9411.06
34,180,35.2626,-3.81819e-06,0
180,-0.495427,6.2845e-13,-1.98731,-120.49
34.5922,9051.75,825.954,825.954,180
35.7552,-2.67071e+06,-4.53577e+06,3.606e+06,9742.08
34.5,180,34.3679,-2.25887e-06,0.0923148
180,-1.1028,1.1703e-11,-1.5946,-120.49
34.5891,9294.45,841.342,841.342,180
35.4677,-2.67091e+06,-4.53611e+06,3.60586e+06,10080.5
35,180,33.6714,-1.9091e-06,1.01023
180,-1.49052,2.0904e-11,-1.1946,-120.49
34.586,9539.87,856.923,856.923,180
35.1587,-2.67111e+06,-4.53645e+06,3.60571e+06,10426.4
35.5,180,33.1767,-8.53774e-07,1.25594
180,-1.66466,2.69342e-11,-0.787423,-120.49
34.5828,9787.87,872.696,872.696,180
34.8382,-2.67132e+06,-4.5368e+06,3.60556e+06,10780.1
36,180,32.8875,-8.53774e-07,1.21809
180,-1.63415,2.94874e-11,-0.373205,-120.49
34.5796,10038.4,888.662,888.662,180
34.5185,-2.67152e+06,-4.53716e+06,3.6054e+06,11141.7
36.5,180,32.8071,-8.53774e-07,0.892253
180,-1.40552,2.82466e-11,0.0479204,-120.49
34.5762,10291.5,904.823,904.823,180
